scorer,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,505.55845880508423,49.59564971923828,1.0,508.570110976696,82.35203552246094,1.0,500.84745597839355,120.61595630645752,1.0
1,550.0486176013947,291.3036856651306,1.0,542.8039979934692,221.18941497802734,1.0,533.961262345314,175.84822416305542,1.0
2,554.3759436607361,320.22808027267456,1.0,539.389105796814,246.9193503856659,1.0,540.6299343109131,199.6799635887146,1.0
3,555.8624839782715,350.9533817768097,1.0,545.8062906265259,280.2111678123474,1.0,541.8800740242004,230.18723964691162,1.0
4,548.3632502257824,368.9948134422302,1.0,545.488694190979,302.2704019546509,1.0,537.5816040039062,254.8937451839447,1.0
5,548.1711302399635,388.4938621520996,1.0,542.1095023155212,315.55502796173096,1.0,538.6758637428284,266.78387928009033,1.0
6,549.2619733810425,409.89547395706177,1.0,539.3261694312096,337.18359422683716,1.0,540.8364418148994,285.39434719085693,1.0
7,549.3260459899902,429.8432730436325,1.0,545.3095428943634,349.97156524658203,1.0,544.1198935508728,302.28255128860474,1.0
8,544.1714282035828,438.01190185546875,1.0,546.6433137655258,366.0120658874512,1.0,544.2117714881897,317.5276222229004,1.0
9,541.1328613758087,436.0867919921875,1.0,546.4924945831299,366.8615448474884,1.0,542.5011930465698,318.37264251708984,1.0
10,552.8183360099792,416.76557779312134,1.0,544.2676858901978,361.1377205848694,1.0,541.5030552148819,316.1098852157593,1.0
11,553.9187412261963,405.4843782186508,0.9999992251396179,542.5627319812775,357.1607652902603,1.0,538.6762676239014,311.45788979530334,1.0
12,548.1862321645021,388.68391758203506,0.9999556541442871,543.261800289154,349.40597343444824,1.0,537.7272968292236,306.19403648376465,1.0
13,533.9036561250687,385.2723479270935,0.7609684467315674,542.8835089206696,346.71932792663574,1.0,539.1187810897827,304.1519250869751,1.0
14,526.2846612930298,380.47807598114014,1.0,546.0818462371826,341.0948534011841,1.0,542.6023960113525,300.8793888092041,1.0
15,513.7736377716064,367.915922164917,1.0,548.4619646072388,337.9342427253723,1.0,545.123950958252,295.7312185764313,1.0
16,510.71999192237854,359.94158816337585,0.9634258151054382,547.8923711776733,335.8208637237549,1.0,549.3477392196655,297.6485438346863,1.0
17,500.1941638290882,358.35382771492004,1.0,546.5292015075684,335.653000831604,1.0,549.1890020370483,297.95076036453247,1.0
18,482.1800489425659,352.91595792770386,1.0,532.5010595321655,342.28408432006836,1.0,549.8902841806412,302.29722785949707,1.0
19,460.29700699448586,355.59319019317627,1.0,511.21765065193176,343.58135747909546,1.0,548.0864725112915,312.1580972671509,1.0
20,431.6996989250183,357.2190318107605,1.0,489.4485001564026,347.50117921829224,1.0,535.7298676967621,329.3949499130249,1.0
21,398.7515769004822,353.43186950683594,1.0,470.8282222747803,349.9692883491516,1.0,514.3477764129639,346.26428985595703,1.0
22,368.7994375228882,349.4039554595947,1.0,437.27793288230896,347.5191435813904,1.0,483.43562412261963,351.93649411201477,1.0
23,333.8864644765854,347.5176067352295,1.0,404.1308004260063,343.0533974170685,1.0,448.4778127670288,348.6307746767998,1.0
