scorer,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
45,128.7489948272705,83.90039539337158,1.0,131.5489320755005,145.6240119934082,1.0,150.81209468841553,184.97916078567505,1.0
46,126.00650382041931,66.84146070480347,1.0,131.73005428910255,135.16978645324707,1.0,148.43981838226318,183.2140712738037,1.0
47,118.88587880134583,54.94312405586243,1.0,129.86269855499268,127.22610235214233,1.0,144.26134967803955,174.52612686157227,1.0
48,111.88957929611206,48.08099603652954,1.0,128.2965121269226,122.75182580947876,1.0,142.10947227478027,171.20006370544434,1.0
49,107.84142601490021,44.27646350860596,1.0,125.19833183288574,118.6575276851654,1.0,138.8445429801941,166.1909303665161,1.0
50,95.2837450504303,46.47749710083008,1.0,122.93130207061768,117.78669714927673,1.0,138.23318541049957,165.98044109344482,1.0
51,92.90324401855469,43.76286697387695,1.0,121.11397886276245,114.60252714157104,1.0,138.0979347229004,165.86196994781494,1.0
52,90.02448892593384,40.308852672576904,1.0,119.53285837173462,113.27743625640869,1.0,136.6854510307312,163.46750116348267,1.0
53,101.39981889724731,48.78332710266113,1.0,121.29646492004395,120.02960968017578,1.0,137.93972945213318,166.36767482757568,1.0
54,91.90427541732788,50.650447368621826,1.0,117.65198540687561,115.93775463104248,1.0,136.44619464874268,165.30901050567627,1.0
55,82.00358486175537,40.026002407073975,1.0,116.75435543060303,112.28145408630371,1.0,134.40954399108887,159.53154253959656,1.0
56,79.76672029495239,37.361019134521484,1.0,115.64523887634277,110.01820874214172,1.0,133.47788441181183,156.97877407073975,1.0
57,75.14794409275055,36.84193134307861,1.0,114.76783180236816,109.94240474700928,1.0,133.27862453460693,155.65496730804443,1.0
58,69.0608823299408,36.04141330718994,1.0,114.53759384155273,106.58930349349976,1.0,132.25714588165283,153.2588496208191,1.0
59,69.34860491752625,37.66881847381592,1.0,113.10773086547852,107.1078577041626,1.0,132.47170734405518,151.96090602874756,1.0
60,73.6601824760437,39.53097057342529,1.0,113.03824210166931,107.00853109359741,1.0,131.9930248260498,152.0464825630188,1.0
61,77.76118457317352,42.19575071334839,1.0,114.02322006225586,106.10512161254883,1.0,133.0331574678421,151.11679935455322,1.0
62,81.71818780899048,42.041687965393066,1.0,114.62601089477539,106.45061445236206,1.0,133.3804428577423,150.9089183807373,1.0
63,90.55983066558838,52.51312065124512,1.0,115.94728909805417,116.8157148361206,1.0,135.3214991092682,158.77372550964355,1.0
64,122.9672122001648,74.64640808105469,1.0,119.76107835769653,129.91731929779053,1.0,137.99205493927002,172.8795680999756,1.0
65,154.81687879562378,95.66515016555786,1.0,132.35497283935547,137.85362148284912,1.0,137.97631692886353,179.6741271018982,1.0
66,176.33806037902832,106.61562252044678,1.0,135.24612259864807,137.435564994812,1.0,135.5312111377716,178.76188898086548,1.0
67,194.88669204711914,122.3621916770935,1.0,141.80384397506714,134.4519557952881,1.0,131.31543731689453,175.29280877113342,1.0
68,208.7070927619934,125.97716808319092,1.0,160.11414909362793,130.7823133468628,1.0,124.84678024053574,166.1792755126953,1.0
69,225.63807201385498,128.41981315612793,1.0,171.06606578826904,124.90824520587921,1.0,125.74247670173645,155.68096160888672,1.0
70,236.82340103387833,129.84638595581055,1.0,167.79532480239868,130.8831114768982,1.0,124.37678024172783,150.7049160003662,1.0
71,252.5028094649315,140.7815580368042,1.0,178.64247751235962,131.96606934443116,1.0,129.53508806228638,147.49022436141968,1.0
72,260.18048886954784,160.81491899490356,1.0,195.6450320482254,138.1438112258911,1.0,137.16508674621582,145.04048252105713,1.0
73,271.0557200908661,176.4908618927002,1.0,200.41496419906616,142.16363048553467,1.0,152.58154201507568,141.87750351428986,1.0
74,282.76985788345337,188.48030757904053,1.0,216.0671901702881,149.79370021820068,1.0,166.21658563613892,138.80035877227783,1.0
75,288.8492178916931,201.7589054107666,1.0,226.73893249034882,155.77977800369263,1.0,179.923386849463,141.62389850616455,1.0
76,270.5437562465668,209.63196325302124,1.0,221.48931348323822,156.2057228088379,1.0,176.9291229248047,135.1791865825653,1.0
77,241.8809459209442,195.98805379867554,1.0,207.73820662498474,151.15117597579956,1.0,164.981691300869,126.64182758331299,1.0
78,198.23073554039001,192.64240503311157,1.0,193.26277351379395,146.20638799667358,1.0,156.18080419301987,114.40520477294922,1.0
79,163.7104220688343,195.21037530899048,1.0,185.4163670539856,151.62388157844543,1.0,164.60854548215866,111.44377422332764,1.0
80,133.92546248435974,205.58743953704834,1.0,179.21061789989471,170.3585352897644,1.0,180.19903755187988,121.56323003768921,1.0
81,110.62312173843384,218.6299786567688,1.0,163.42542976140976,187.56598281860352,1.0,192.0006628036499,140.3362283706665,1.0
82,80.98904323577881,233.66287565231323,1.0,147.5968723297119,199.54219317436218,1.0,181.92778027057648,164.32976913452148,1.0
83,73.71501159667969,235.56145334243774,1.0,131.46762615442276,206.27539253234863,1.0,163.06859159469604,178.26969051361084,1.0
84,78.14708375930786,227.0548963546753,1.0,121.77871608734131,210.7517147064209,1.0,153.37939023971558,190.12080788612366,1.0
85,81.3390417098999,221.3748162984848,0.9999994039535522,113.21014356613159,214.3187313079834,1.0,143.87319111824036,192.71941900253296,1.0
86,82.9687305688858,210.91638505458832,0.9999969601631165,110.06267666816711,208.445903301239,1.0,141.70182085037231,193.91861581802368,1.0
87,141.43245601654053,198.1159110069275,2.059340476989746e-05,110.01264834403992,202.15844106674194,1.0,134.24159979820251,196.96928119659424,1.0
88,134.39239072799683,207.91934204101562,4.270672798156738e-05,108.45689424872398,202.41354703903198,1.0,129.5496964454651,202.24922943115234,1.0
89,124.31565380096436,202.94155204296112,1.9073486328125e-06,103.98850345611572,199.78611516952515,1.0,118.58065056800842,199.02768445014954,1.0
90,119.17040967941284,206.28144598007202,2.8908252716064453e-06,102.19299411773682,200.63184785842896,1.0,117.47457027435303,198.55940222740173,1.0
91,119.59029531478882,211.12025451660156,3.2186508178710938e-06,105.80937385559082,199.53299045562744,1.0,117.92623662948608,200.53538417816162,1.0
92,101.38254976272583,194.9386284351349,8.353590965270996e-05,116.6229076385498,201.079505443573,1.0,138.8712946176529,195.68787574768066,1.0
93,92.28072920441628,200.61110830307007,0.999731183052063,116.15274906158447,199.27397465705872,1.0,146.2251262664795,191.23698163032532,1.0
94,98.52687788009644,226.92112684249878,1.0,119.23853659629822,203.56389713287354,1.0,147.35403096675873,190.8089542388916,1.0
95,96.45978450775146,243.11342763900757,1.0,117.6569916009903,206.33643627166748,1.0,149.87114429473877,188.07013416290283,1.0
96,89.1086049079895,263.06856656074524,1.0,112.19179344177246,215.46902585029602,1.0,147.28738832473755,188.54958534240723,1.0
97,88.19646310806274,290.72105503082275,1.0,107.73318296670914,228.34404850006104,1.0,134.3186776638031,193.29627513885498,1.0
98,89.00573587417603,316.1818904876709,1.0,105.93096685409546,243.88121891021729,1.0,125.51321411132812,201.31808996200562,1.0
99,90.15104579925537,339.7703332901001,1.0,107.04142045974731,263.2127525806427,1.0,118.9990828037262,215.29245901107788,1.0
100,89.20739221572876,366.53585267066956,1.0,103.29053711891174,289.8645339012146,1.0,114.05893087387085,242.26794242858887,1.0
101,90.26241970062256,387.776846408844,1.0,107.78548002243042,311.9461305141449,1.0,116.50991535186768,265.56595611572266,1.0
102,88.59029197692871,407.62743973731995,1.0,106.82606422901154,328.9247741699219,1.0,112.63862895965576,279.32593631744385,1.0
103,83.07681846618652,425.769597530365,1.0,106.26201713085175,346.36978673934937,1.0,114.35986566543579,299.41055059432983,1.0
104,79.70496249198914,418.9627113342285,1.0,105.74457240104675,347.93606758117676,1.0,117.2485362291336,298.7890086174011,1.0
105,85.22180938720703,393.01554775238037,1.0,104.95713090896606,336.6439127922058,1.0,116.42601585388184,289.19638872146606,1.0
106,82.31474542617798,356.3809806704521,1.0,107.4183139204979,324.72226905822754,1.0,116.06913948059082,280.5203585624695,1.0
107,99.77172158658504,365.00031411647797,1.0,104.08680200576782,322.1003484725952,1.0,115.80897378921509,283.01492834091187,1.0
108,80.05236005783081,354.86433935165405,0.21807146072387695,106.36073350906372,328.162878036499,1.0,115.40745687484741,289.3950185775757,1.0
109,78.28765726089478,356.210908010602,0.014569580554962158,105.1474609375,331.6004567146301,1.0,118.83755302429199,295.7503204345703,1.0
110,97.0670313835144,367.1928381919861,0.8540689945220947,105.73713731765747,328.2982873916626,1.0,120.67582702636719,295.18365240097046,1.0
111,85.79823637008667,364.982393682003,1.0,109.05303025245667,330.8072090148926,1.0,120.28091382980347,295.86826157569885,1.0
112,81.63420104980469,383.0646631717682,1.0,103.76930737495422,341.5841369628906,1.0,117.91090965270996,305.3107657432556,1.0
113,82.61985063552856,391.44989585876465,1.0,98.74259495735168,348.5801372528076,1.0,117.88151037693024,318.3370237350464,1.0
114,89.3320894241333,392.9590833187103,0.9999994039535522,99.3378473520279,356.8466749191284,1.0,115.37939882278442,327.4877550601959,1.0
115,115.66223895549774,384.702800989151,0.9777905941009521,99.33073002099991,358.1868896484375,1.0,113.64022397994995,336.8337950706482,1.0
116,93.41540169715881,367.45895051956177,3.185868263244629e-05,100.93175411224365,358.09252095222473,1.0,111.40400958061218,343.806756734848,1.0
117,90.56468915939331,336.93448066711426,0.9460115432739258,101.74176931381226,359.5084729194641,0.9999995231628418,100.19833043217659,348.3218097984791,1.0
118,88.09807300567627,337.63392972946167,1.0,98.30039024353027,364.68557846546173,1.0,99.34819757938385,348.47433295845985,1.0
119,97.32514476776123,398.86753940582275,1.0,98.99022436141968,366.85364866256714,1.0,101.4534021615982,346.37038826942444,1.0
120,93.58904564380646,409.30563020706177,1.0,98.87935018539429,372.5760575532913,1.0,101.32655954360962,348.8550463914871,1.0
121,97.2645058631897,409.63702726364136,1.0,95.74023294448853,375.8560469150543,1.0,103.68958115577698,356.3136066198349,1.0
122,102.94822478294373,406.43989181518555,1.0,97.701988697052,375.1966733932495,0.9999994039535522,102.11807012557983,353.76143074035645,1.0
123,84.61228084564209,351.17267537117004,0.9937880039215088,110.70430827140808,386.7885231971741,1.0,101.85589969158173,354.6072540283203,1.0
124,124.57128846645355,417.0195679664612,0.9827572107315063,107.04628992080688,390.9052138328552,1.0,94.9005115032196,358.96670627593994,1.0
125,133.1492394208908,412.73918330669403,0.7746568322181702,109.85040819644928,392.49057722091675,1.0,89.62440586090088,360.7855272293091,1.0
126,146.73278903961182,417.64343786239624,1.0,116.41379982233047,392.51144647598267,1.0,91.87248462438583,360.61213397979736,1.0
127,154.16501986980438,416.637175321579,1.0,119.04398345947266,393.337926864624,1.0,94.61248564720154,360.5932369232178,1.0
128,151.83703708648682,412.23304307460785,0.9999979734420776,119.40906429290771,390.11213278770447,1.0,87.44099497795105,359.8837549686432,1.0
129,148.42810675501823,413.1457347869873,0.9820687770843506,115.12071591615677,385.7160086631775,1.0,94.87669658660889,354.18757677078247,1.0
130,134.46379041671753,407.8685474395752,0.9990205764770508,114.35622417926788,378.4932289123535,1.0,93.06447315216064,342.4708061218262,1.0
131,97.63116025924683,408.83228302001953,1.0,101.11378490924835,357.8027534484863,1.0,104.01634788513184,321.1306252479553,1.0
132,86.62828373908997,403.6650390625,1.0,96.06741762161255,357.05299186706543,1.0,106.32484817504883,321.9590177536011,1.0
133,90.53960943222046,412.3834867477417,1.0,97.8016710281372,360.0693693161011,1.0,109.42522060871124,321.44844913482666,1.0
134,99.31932353973389,433.4084520339966,1.0,96.5493631362915,366.9092423915863,1.0,107.63655662536621,322.68521881103516,1.0
135,105.92042446136475,440.8157043457031,1.0,94.47138977050781,373.77978897094727,1.0,103.08762979507446,326.72492003440857,1.0
136,108.46202278137207,424.1250901222229,1.0,96.3928017616272,367.897837638855,1.0,99.90566892921925,325.31086444854736,1.0
137,85.25090026855469,395.5562982559204,1.0,95.23541712760925,354.84349060058594,1.0,103.78620457649231,320.779194355011,1.0
138,101.3745505809784,370.8343378305435,0.007433086633682251,99.4864576458931,345.9610056877136,1.0,103.67953610420227,324.0089054107666,1.0
139,107.62271875143051,369.4718770980835,0.7894599437713623,102.44012498855591,343.69495820999146,1.0,104.31235647201538,327.70818877220154,1.0
140,108.70948338508606,363.8072142004967,0.0038946568965911865,101.7806829214096,345.69702434539795,0.999999463558197,102.50699281692505,330.2908601760864,1.0
141,115.76771926879883,353.2957355976105,0.00014546513557434082,96.3230402469635,345.34329867362976,0.9996196031570435,99.42915916442871,335.22489619255066,1.0
142,102.40616488456726,371.76002991199493,0.06435361504554749,101.49637794494629,349.89449739456177,0.9999886751174927,101.8484355211258,334.9965476989746,1.0
143,109.88632607460022,371.56122440099716,0.9999856352806091,102.35963225364685,344.4621031284332,0.9999998807907104,104.36677360534668,327.010516166687,1.0
144,118.79417705535889,369.1319885253906,1.0,103.81604409217834,337.5389778614044,1.0,103.74824714660645,317.2296943664551,1.0
145,125.85435259342194,375.8966257572174,1.0,104.17607498168945,337.5569543838501,1.0,104.40614938735962,308.9768285751343,1.0
146,132.59064239263535,396.2263879776001,1.0,102.41336250305176,344.6513395309448,1.0,103.44230341911316,306.92525911331177,1.0
147,154.91712427139282,409.1801953315735,1.0,116.06290245056152,358.03971910476685,1.0,103.31536793708801,310.38647747039795,1.0
148,178.0770788192749,423.66141057014465,1.0,132.91933280229568,372.9571132659912,1.0,101.52937126159668,322.99224519729614,1.0
149,200.49059629440308,429.15881633758545,1.0,148.91523456573486,383.87409710884094,1.0,110.20468258857727,350.90681433677673,1.0
150,217.12757301330566,428.4717712402344,1.0,168.05679893493652,393.61463594436646,1.0,134.69359421730042,367.013388633728,1.0
151,232.62685585021973,424.7710747718811,1.0,186.01386094093323,397.66887950897217,1.0,154.6353578567505,368.32738637924194,1.0
152,248.8992099761963,422.5335555076599,1.0,192.9186305999756,399.5515398979187,1.0,151.77939105033875,374.4793510437012,1.0
153,269.66707360744476,423.34284925460815,1.0,209.5152087211609,403.0064549446106,1.0,157.53835010528564,379.129469871521,1.0
154,287.50763750076294,426.4319381713867,1.0,223.41771125793457,404.14912033081055,1.0,167.32923412322998,385.5257263183594,1.0
155,295.9648323059082,423.1365489959717,1.0,229.62952303886414,402.5683264732361,1.0,177.52712535858154,387.29870653152466,1.0
156,293.4585018157959,422.7460341453552,1.0,227.41091012954712,401.25091648101807,1.0,175.67642402648926,385.243088722229,1.0
157,265.2643446922302,414.9043998718262,1.0,208.23197293281555,397.80006217956543,1.0,158.20966744422913,381.6697292327881,1.0
158,233.16328716278076,407.54814195632935,1.0,185.96322298049927,395.8664674758911,1.0,150.68680238723755,377.563419342041,1.0
159,207.47154188156128,419.00811022520065,0.15577417612075806,179.0347456932068,395.51617908477783,1.0,148.59517818689346,373.9908380508423,1.0
160,209.93090295791626,416.4530096054077,0.027233660221099854,182.2189118862152,395.76137018203735,1.0,152.51109981536865,377.5575385093689,1.0
161,205.32380163669586,414.527943611145,0.004113584756851196,184.95887899398804,399.0139112472534,1.0,156.29035186767578,380.79715728759766,1.0
162,209.3017373085022,408.1015074253082,0.0003801286220550537,182.74025917053223,404.16626077890396,1.0,166.3109679222107,385.13539123535156,1.0
163,157.08357393741608,405.3218603134155,0.14851000905036926,183.1660554409027,407.7340655326843,0.9999998807907104,172.4245654642582,389.85879135131836,1.0
164,164.79730892181396,409.31685400009155,0.00041931867599487305,183.79689145088196,409.47099137306213,0.9999808073043823,180.97362303733826,402.00858449935913,1.0
165,217.6224193572998,389.25891983509064,0.6506127119064331,189.97400617599487,408.70219898223877,0.9976240992546082,181.78355014324188,403.10579347610474,1.0
166,220.41294252872467,389.58112347126007,0.4612748324871063,193.02309775352478,407.9132034778595,0.9978317618370056,181.7547355890274,402.9699778556824,1.0
167,160.61782121658325,405.54625606536865,0.32629549503326416,187.18733197450638,407.4804837703705,0.9999972581863403,173.8314733505249,391.14548110961914,1.0
168,218.2257742881775,408.6338520050049,1.0,184.47618627548218,395.0611100792885,1.0,157.46037435531616,376.71132040023804,1.0
169,215.46650457382202,390.2591857910156,1.0,172.53658938407898,390.9622790813446,1.0,139.99501848220825,374.0693085193634,1.0
170,211.42218035459518,367.58317279815674,1.0,167.28408908843994,384.4458909034729,1.0,125.54110252857208,380.5416440963745,1.0
171,201.86722898483276,345.247718334198,1.0,168.18653345108032,383.08062171936035,1.0,123.05126392841339,387.06857776641846,1.0
172,187.4817281961441,317.5153741836548,1.0,175.44245862960815,370.7824788093567,1.0,134.37412095069885,395.33044958114624,1.0
173,184.40110397338867,289.61077404022217,1.0,178.02998399734497,350.92423844337463,1.0,147.11988353729248,394.24089908599854,1.0
174,168.29453992843628,261.44774436950684,1.0,173.7339460849762,328.0427498817444,1.0,165.63145077228546,378.40674018859863,1.0
175,147.00134944915771,240.89756631851196,1.0,161.42188692092896,299.88154649734497,1.0,166.68766260147095,352.1334819793701,1.0
176,134.66818857192993,218.3685483932495,1.0,154.6742115020752,279.1872191429138,1.0,173.17227518558502,325.0824794769287,1.0
177,122.77609157562256,193.59321975708008,1.0,150.30102968215942,256.75581455230713,1.0,169.48960304260254,301.7452278137207,1.0
178,104.16989040374756,169.50858116149902,1.0,132.56726324558258,236.84243965148926,1.0,154.48211336135864,282.51565742492676,1.0
179,89.26462364196777,145.53821754455566,1.0,117.15542078018188,213.10821628570557,1.0,142.5665533542633,256.9237747192383,1.0
180,83.29492521286011,130.8245644569397,1.0,114.79385566711426,200.16957092285156,1.0,139.89661312103271,243.16644382476807,1.0
181,82.81962668895721,135.93323612213135,1.0,110.85052680969238,189.18694496154785,1.0,130.6709144115448,230.3652639389038,1.0
182,81.59879159927368,131.61644411087036,1.0,104.24556684494019,172.8774003982544,1.0,125.15623998641968,206.52352333068848,1.0
183,86.00968623161316,120.62940216064453,1.0,104.42225408554077,162.63674402236938,1.0,125.68891561031342,193.23423194885254,1.0
184,85.40028750896454,117.06882572174072,1.0,108.04666233062744,161.3435559272766,1.0,128.75279664993286,192.16630840301514,1.0
185,88.9800705909729,138.32411861419678,0.9999806880950928,109.31489944458008,167.85184931755066,1.0,130.56988143920898,192.78836059570312,1.0
186,85.53492999076843,154.7784698009491,0.00016036629676818848,107.40302991867065,171.70804738998413,1.0,131.10202264785767,194.5104570388794,1.0
187,129.58316802978516,192.38197326660156,0.00014632940292358398,107.28239965438843,176.2861909866333,1.0,127.09028911590576,190.32050347328186,1.0
188,124.1626672744751,183.7055287361145,7.3909759521484375e-06,105.33084011077881,181.42406582832336,1.0,118.88307046890259,181.05822086334229,1.0
189,114.38853180408478,202.16139316558838,0.05412954092025757,107.43691778182983,185.57663106918335,0.9999911785125732,112.79440259933472,176.91005563735962,1.0
190,117.4200644493103,209.9230625629425,0.0022785067558288574,103.62339568138123,186.5751734972,1.0,114.17189383506775,177.32287979125977,1.0
191,119.7470543384552,216.16976809501648,0.013183683156967163,105.11857795715332,187.73848268389702,1.0,116.11859164386988,176.90869140625,1.0
192,124.16785450279713,162.96081256866455,0.00950518250465393,111.25325560569763,186.57380628585815,1.0,126.88446736335754,185.9787244796753,1.0
193,116.40531128644943,150.50748300552368,0.014436006546020508,119.39763307571411,182.90550017356873,1.0,139.59335231781006,192.8828740119934,1.0
194,128.97523307800293,130.40106773376465,1.0,120.63879108428955,175.2739450931549,1.0,141.03700077533722,198.02230548858643,1.0
195,126.69752240180969,114.23327589035034,1.0,118.91964173316956,169.1260871887207,1.0,139.78362703323364,199.4210488796234,1.0
196,133.19884586334229,90.54754734039307,1.0,117.08260810375214,155.27850151062012,1.0,126.41839289665222,195.59250593185425,1.0
197,156.48080345988274,86.90676689147949,1.0,121.61252403259277,136.27214670181274,1.0,108.23069477081299,186.58776903152466,1.0
198,181.754408121109,99.19372606277466,1.0,133.86342442035675,122.9816222190857,1.0,95.33495473861694,165.5105562210083,1.0
199,204.12402629852295,103.39085340499878,1.0,148.37960052490234,117.49069392681122,1.0,103.2180597782135,143.82037830352783,1.0
200,231.04791712760925,108.41297721862793,1.0,171.44147664308548,115.38437461853027,1.0,120.68159914016724,136.60360765457153,1.0
201,262.68458700180054,114.65822315216064,1.0,198.85542631149292,112.85694217681885,1.0,147.1083458662033,114.93271112442017,1.0
